Tissue,Protein,Coefficient
Skin,BLMH,-0.0097514154
Skin,CA6,-0.3421678611
Skin,CCL27,0.3358870673
Skin,CD207,0.3039247872
Skin,CDHR1,-0.0925693014
Skin,CDSN,0.3585975185
Skin,CST6,0.182780603
Skin,DSG4,-0.5021378915
Skin,FABP9,-0.068821216
Skin,KRT14,0.0062065053
Skin,SERPINA12,-0.042698663
Intestine,CCL25,0.089406722
Intestine,CDH17,-0.0962943238
Intestine,CDHR2,0.2991566051
Intestine,CDHR5,-0.2370461915
Intestine,FABP2,-0.2274144616
Intestine,FABP6,-0.1167715641
Intestine,GPA33,-0.0291863041
Intestine,GUCA2A,0.3076742989
Intestine,LGALS4,0.4226275002
Intestine,LYPD8,0.0695118409
Intestine,MEP1B,-0.0798489175
Intestine,MLN,0.1318134677
Intestine,RBP2,0.1495635574
Intestine,REG4,0.3495406951
Intestine,SPINK4,0.1476590136
Intestine,TMPRSS15,-0.0658860706
Pancreas,AMY2B,-0.0396777287
Pancreas,CELA3A,-0.0938344518
Pancreas,CLPS,0.0377264453
Pancreas,CPA2,-0.1377035761
Pancreas,CPB1,0.0863003458
Pancreas,CTRB1,-0.1804052103
Pancreas,CTRC,-0.1477132821
Pancreas,GCG,-0.0512574454
Pancreas,GP2,0.1724243934
Pancreas,KIRREL2,-0.0581835085
Pancreas,KLK1,0.0628315009
Pancreas,PLA2G1B,-0.5117651725
Pancreas,PNLIPRP2,0.0001773364
Pancreas,PPY,0.1299637684
Pancreas,PRSS2,0.4182700009
Pancreas,REG1A,0.3216857118
Pancreas,REG1B,0.0260248218
Pancreas,SPINK1,0.6400243668
Lung,AGER,-0.292005303
Lung,ALPP,0.0432066149
Lung,CCL18,0.2175449186
Lung,LAMP3,0.5350311021
Lung,SCGB1A1,0.1461910493
Lung,SCGB3A2,0.0559362046
Lung,SFTPA1,0.0258256498
Lung,SFTPA2,0.0523222121
Lung,SFTPD,0.1665625184
Stomach,CBLIF,0.0029873959
Stomach,GHRL,-0.0638134998
Stomach,TFF1,0.213374621
Stomach,TFF2,0.4074518794
Female,LEFTY2,0.2045570004
Female,PAEP,-0.0846908036
Female,WFIKKN2,-0.2850396166
Multi-organ,AGER,-0.3478578398
Multi-organ,AHSP,0.0001637969
Multi-organ,AKR1B1,0.0111223393
Multi-organ,ALPP,0.0298246352
Multi-organ,ANG,0.0054019021
Multi-organ,ANGPTL3,-0.0453837599
Multi-organ,ANXA10,0.0248604402
Multi-organ,APBB1IP,-0.0938005242
Multi-organ,APLP1,-0.089366756
Multi-organ,AZU1,0.0052170697
Multi-organ,BCAN,-0.1983515286
Multi-organ,BGN,0.0057639906
Multi-organ,BLMH,-0.0252899769
Multi-organ,BST1,0.0095016733
Multi-organ,C4BPB,-0.0269643429
Multi-organ,CA11,-0.0042477962
Multi-organ,CA14,-0.2401151334
Multi-organ,CA3,0.0978983908
Multi-organ,CA5A,0.0069080143
Multi-organ,CA6,-0.0740674801
Multi-organ,CA9,0.0300443905
Multi-organ,CBLIF,-0.0110716448
Multi-organ,CCL16,0.0120063179
Multi-organ,CCL18,0.03955696
Multi-organ,CCL25,0.0046597842
Multi-organ,CD177,-0.0074208168
Multi-organ,CD8A,-0.0024275678
Multi-organ,CDH17,-0.0237463705
Multi-organ,CDHR1,-0.0075776921
Multi-organ,CDHR2,0.0473054978
Multi-organ,CELA3A,-0.0766921663
Multi-organ,CLEC4D,0.0151743003
Multi-organ,CLPS,0.004639896
Multi-organ,CNDP1,-0.1147075941
Multi-organ,CNTN1,-0.0780087969
Multi-organ,CNTN2,0.0353476351
Multi-organ,CNTNAP2,0.0831162408
Multi-organ,CPA2,-0.0233197828
Multi-organ,CPPED1,0.0051218428
Multi-organ,CRH,-0.0281943069
Multi-organ,CRISP2,0.0198168951
Multi-organ,CRTAM,0.0217118862
Multi-organ,CSF2RA,0.019926142
Multi-organ,CST7,-0.0115705409
Multi-organ,CXCL13,0.0303017929
Multi-organ,CXCL5,0.0114393877
Multi-organ,DCXR,-0.1249900333
Multi-organ,DKKL1,0.0035206871
Multi-organ,DSG4,-0.058781319
Multi-organ,EGLN1,0.0308270532
Multi-organ,EPO,0.049600822
Multi-organ,F7,-0.0331012104
Multi-organ,FABP2,-0.0376531959
Multi-organ,FABP4,-0.0551820143
Multi-organ,FABP6,-0.039138201
Multi-organ,FASLG,-0.146541279
Multi-organ,FCAR,-0.0251477285
Multi-organ,FCGR2A,0.0199304752
Multi-organ,FCGR3B,-0.0374970088
Multi-organ,FETUB,-0.0079346666
Multi-organ,FGF21,0.0149805765
Multi-organ,FMNL1,-0.0113322164
Multi-organ,FOLR3,-0.0049736485
Multi-organ,FRZB,0.0248811358
Multi-organ,FYB1,-0.0438905746
Multi-organ,GAL,-0.005621575
Multi-organ,GCG,-0.0309672042
Multi-organ,GFAP,0.2207766268
Multi-organ,GH1,-0.0042580696
Multi-organ,GH2,-0.0088251218
Multi-organ,GHRL,-0.0350419031
Multi-organ,GNLY,-0.0168102104
Multi-organ,GP2,0.0966395214
Multi-organ,GPA33,0.0103017744
Multi-organ,GPC5,-0.046737731
Multi-organ,GPR37,0.0204645509
Multi-organ,GSTA3,-0.0225244772
Multi-organ,GUCA2A,0.0227134632
Multi-organ,GZMA,-0.018353808
Multi-organ,GZMH,0.0022078766
Multi-organ,HAO1,0.0179405575
Multi-organ,HAVCR1,0.1706883423
Multi-organ,HCLS1,-0.0008384086
Multi-organ,HSD11B1,-0.0684445142
Multi-organ,ICAM3,0.0759408517
Multi-organ,IDI2,-0.0188489939
Multi-organ,IGFBP1,0.0129039346
Multi-organ,IL13,-0.0014523539
Multi-organ,IL18RAP,-0.0115961497
Multi-organ,IL2RB,-0.0104555212
Multi-organ,IL5,-0.0156771842
Multi-organ,ITGAM,-0.2141582521
Multi-organ,ITGB1BP2,0.0240813698
Multi-organ,ITIH3,0.1052043563
Multi-organ,KEL,0.0703183877
Multi-organ,KIR2DL3,0.0476192742
Multi-organ,KIRREL2,-0.0307777068
Multi-organ,KLK1,0.0243724608
Multi-organ,KLK4,0.1109206883
Multi-organ,LAMP3,0.0717271898
Multi-organ,LEP,0.0089194575
Multi-organ,LGALS4,0.0881595041
Multi-organ,LHB,-0.038679101
Multi-organ,LHPP,0.018170189
Multi-organ,LPO,-0.0085905745
Multi-organ,LTBP2,0.7432926478
Multi-organ,LYPD8,0.0032230998
Multi-organ,MEP1B,-0.017777952
Multi-organ,MEPE,-0.1453611817
Multi-organ,MLN,0.0176543053
Multi-organ,MMP8,0.0255827162
Multi-organ,MMP9,0.099735601
Multi-organ,MOG,0.0786500126
Multi-organ,MPO,0.0342501875
Multi-organ,MSMB,0.0395072188
Multi-organ,MUC13,-0.0049083361
Multi-organ,MZB1,0.0273304095
Multi-organ,MZT1,-0.0112581794
Multi-organ,NCAN,-0.1722227489
Multi-organ,NEFL,0.394900646
Multi-organ,NPPB,0.064719994
Multi-organ,NPTX1,0.0257471048
Multi-organ,NPTXR,-0.0264719091
Multi-organ,ODAM,-0.0776813575
Multi-organ,OMG,-0.0412526317
Multi-organ,OXT,0.0037320614
Multi-organ,PAEP,-0.0122311794
Multi-organ,PLA2G1B,-0.0629236969
Multi-organ,PNLIPRP2,0.003017236
Multi-organ,POLR2F,0.0416523172
Multi-organ,PPY,0.0250902121
Multi-organ,PRL,0.0136185011
Multi-organ,PROC,-0.0036264729
Multi-organ,PVALB,0.0014674711
Multi-organ,RBP2,-0.0099029854
Multi-organ,REG1A,0.0484872819
Multi-organ,REG1B,0.0462685681
Multi-organ,REG4,0.0994154017
Multi-organ,REN,0.1064428026
Multi-organ,RETN,-0.062229089
Multi-organ,RGS8,-0.005416639
Multi-organ,RNASE3,-0.027470379
Multi-organ,S100A12,0.0236470152
Multi-organ,SCARB1,-0.0288365473
Multi-organ,SCGB3A2,0.0169684477
Multi-organ,SELPLG,-0.0736621457
Multi-organ,SERPINA12,-0.0015190244
Multi-organ,SEZ6L,-0.1006493773
Multi-organ,SFTPA1,0.0257359215
Multi-organ,SFTPA2,0.0468922281
Multi-organ,SFTPD,0.1232332909
Multi-organ,SIGLEC5,0.0293305433
Multi-organ,SIGLEC7,0.0069198472
Multi-organ,SIGLEC9,-0.0097866726
Multi-organ,SOD2,-0.0850599722
Multi-organ,SOST,-0.0164709448
Multi-organ,SPINK1,0.0094266269
Multi-organ,SPINK4,0.0250708772
Multi-organ,SPOCK1,0.1646363088
Multi-organ,TFF1,0.0106392515
Multi-organ,TNFRSF11B,0.1590850966
Multi-organ,TNNI3,2.89881e-05
Multi-organ,TNR,-0.2335717238
Multi-organ,UMOD,-0.0535149046
Multi-organ,VSIR,-0.0017660798
Multi-organ,WAS,-0.0077108808
Multi-organ,WFIKKN2,-0.0982071188
Adrenal,GSTA3,0.0113806794
Adipose,CD300LG,-0.0048489339
Adipose,FABP4,0.7134374851
Adipose,LEP,-0.2238648999
Adipose,PLIN1,-0.1410743917
Immune,ADGRE2,0.3553404773
Immune,AHSP,0.0082587939
Immune,AIF1,0.0093047195
Immune,APBB1IP,-0.0440279445
Immune,AZU1,0.0032327776
Immune,BIN2,-0.0258729759
Immune,BST1,0.023555747
Immune,CCL5,0.0405935416
Immune,CD177,-0.0036896926
Immune,CD244,-0.0345433172
Immune,CD8A,-0.1148430621
Immune,CEACAM21,0.020671971
Immune,CEACAM3,-0.0059910484
Immune,CEACAM8,0.1653360314
Immune,CLC,0.0768985756
Immune,CLEC4D,0.0968713461
Immune,CORO1A,0.055915258
Immune,CSF2RA,0.0659518765
Immune,CST7,0.0138885861
Immune,CXCL1,-0.0007818506
Immune,CXCL13,0.1719204711
Immune,CXCL6,0.0244405011
Immune,DEFA1_DEFA1B,0.0569626815
Immune,DPEP2,-0.0305935495
Immune,FASLG,-0.620805666
Immune,FCAR,-0.031007111
Immune,FCGR2A,0.0750360044
Immune,FCGR3B,-0.1672882034
Immune,FCRL6,0.0152974714
Immune,FMNL1,-0.0639661328
Immune,FYB1,-0.0227771221
Immune,GNLY,0.0299919011
Immune,GZMA,-0.1220401226
Immune,GZMB,-0.0588158103
Immune,GZMH,0.1166256382
Immune,HBQ1,-0.0587903033
Immune,ICAM3,0.03268316
Immune,IL17RA,0.0048931661
Immune,IL18RAP,-0.0432801545
Immune,IL1R2,-0.2883410501
Immune,IL2RB,-0.0448314192
Immune,ITGAM,-0.6389227713
Immune,ITGB2,0.0752621172
Immune,KIR2DL3,0.1069465819
Immune,KIR3DL1,0.0010099199
Immune,LAT2,0.0070203231
Immune,LILRA2,-0.0444022969
Immune,LILRA5,0.011496118
Immune,LILRB1,-0.0689534137
Immune,LILRB2,0.1936231618
Immune,LRRC25,0.0723069158
Immune,LYN,-0.031908153
Immune,MMP8,0.0417689585
Immune,MMP9,0.2273404509
Immune,MNDA,-0.0358287287
Immune,MPO,0.0697542823
Immune,MZB1,0.1716928179
Immune,NCR1,0.0890268157
Immune,OSM,-0.1088094853
Immune,PADI4,0.052152863
Immune,PGLYRP1,0.0131106066
Immune,PILRA,0.2171117946
Immune,PRTN3,-0.0892099325
Immune,RETN,-0.0854270496
Immune,RNASE3,-0.0483922789
Immune,S100A12,0.0600980471
Immune,SELPLG,-0.1490490242
Immune,SIGLEC5,0.0314697467
Immune,SIGLEC7,0.6157671039
Immune,SIGLEC9,-0.0410166659
Immune,SIRPB1,0.0142882488
Immune,TNFRSF10C,0.0866428085
Immune,TNFRSF1B,0.3892269968
Immune,TREML2,-0.4541051162
Immune,VNN2,0.0145202726
Immune,VSIR,-0.0015559566
Immune,VSTM1,-0.0247268995
Immune,WAS,-0.0451926697
Artery,ACAN,-0.5979813032
Artery,BGN,-0.1249656296
Artery,CRLF1,0.0319864246
Artery,FRZB,0.0296207057
Artery,LTBP2,1.3368766493
Artery,MFGE8,0.1303581703
Artery,SOST,0.1649074847
Artery,THBS2,-0.0414627905
Artery,TNFRSF11B,0.6479231474
Liver,ADH4,-0.0309617246
Liver,AGXT,0.0046909019
Liver,AKR1C4,0.033353095
Liver,AMBP,1.0503117423
Liver,ANG,0.2557955194
Liver,ANGPTL3,-0.0161459356
Liver,APOH,0.0405025008
Liver,ASGR1,0.4432337439
Liver,C4BPB,-0.0871836985
Liver,CA5A,0.0079982983
Liver,CCL16,0.216777943
Liver,EPO,0.0872385242
Liver,F7,-0.5421514682
Liver,F9,0.3926638339
Liver,FETUB,-0.2282059924
Liver,FGF21,0.0961509364
Liver,GDF2,-0.2876143971
Liver,HAO1,0.0248887064
Liver,HSD11B1,-0.0362380962
Liver,IGFBP1,0.0741568169
Liver,INHBC,0.0106765709
Liver,ITIH3,0.5157196657
Liver,LBP,0.0435882628
Liver,PON3,-0.2732783703
Liver,PROC,-0.5503369669
Liver,SERPINA11,0.312584559
Organismal,AARSD1,0.0550178693
Organismal,ACE2,0.0102346724
Organismal,ACTA2,0.1052938198
Organismal,ACY1,-0.0439473187
Organismal,ADA2,0.0619723277
Organismal,ADAMTS15,-0.0399084842
Organismal,ADAMTS8,-0.0023974688
Organismal,ADGRG1,0.0455144212
Organismal,ADGRG2,-0.0036796896
Organismal,ADM,0.0061739871
Organismal,AFP,0.0267983706
Organismal,AGR2,0.0407528144
Organismal,AGRN,-0.0538085274
Organismal,AKT3,-0.0133656089
Organismal,ALDH1A1,-0.0044472111
Organismal,AREG,0.0847953626
Organismal,ART3,-0.1888326212
Organismal,ATF2,-0.0119551069
Organismal,ATP5IF1,-0.0085411556
Organismal,B4GAT1,-0.0070972075
Organismal,BAG3,-0.0941567144
Organismal,BPIFB1,0.0559545588
Organismal,BRK1,0.0921009319
Organismal,C19orf12,-0.0104134497
Organismal,CA2,0.0247288189
Organismal,CA4,-0.0990528582
Organismal,CALCA,0.0348982635
Organismal,CCDC80,0.093577208
Organismal,CCL17,0.0431958587
Organismal,CCL19,0.0072638019
Organismal,CCL2,-0.0618608599
Organismal,CCL20,-0.0180255607
Organismal,CCL4,0.0098734894
Organismal,CCN3,0.045710024
Organismal,CCN5,0.0225278802
Organismal,CD160,-0.0188672614
Organismal,CD276,0.0435406032
Organismal,CD33,0.0067945667
Organismal,CD6,-0.009181112
Organismal,CD83,-0.0164635113
Organismal,CDCP1,0.0659556872
Organismal,CEACAM5,0.1841598255
Organismal,CES1,-0.0115625941
Organismal,CES2,-0.0116400976
Organismal,CLPP,-0.0036579
Organismal,CLSTN2,0.0079759742
Organismal,CNST,-0.0203867017
Organismal,COX5B,-0.0064481142
Organismal,CR2,-0.0336382644
Organismal,CRNN,-0.005858492
Organismal,CRTAC1,-0.0513433964
Organismal,CRX,-6.99696e-05
Organismal,CSF3,-0.0487366945
Organismal,CTF1,-0.0066390464
Organismal,CTSV,-0.0165806055
Organismal,CXCL17,0.0751109815
Organismal,CXCL8,0.0284851231
Organismal,DAPP1,0.0002172051
Organismal,DCBLD2,0.0386255839
Organismal,DCTN2,0.0253014754
Organismal,DCTN6,-0.0023212502
Organismal,DDC,-0.0366975422
Organismal,DKK4,-0.0266119535
Organismal,DLK1,-0.0234190186
Organismal,DNAJB1,-0.0007831853
Organismal,DUOX2,0.0160863979
Organismal,EDA2R,0.367113056
