Tissue,Protein,Coefficient
Organismal,EDAR,-0.0054850776
Organismal,ENPP2,-0.057936096
Organismal,ENPP5,-0.0097001212
Organismal,FCGR2B,-0.0085283466
Organismal,FCRL1,-0.0227146941
Organismal,FCRLB,0.0326237921
Organismal,FGF2,0.0517619483
Organismal,FGFBP1,-0.0120738262
Organismal,FLI1,-0.0078555116
Organismal,FOLR1,-0.0161047108
Organismal,FOXO3,-0.0390032331
Organismal,FST,-0.0008534407
Organismal,FUCA1,-0.0093378345
Organismal,FUT3_FUT5,0.0199540056
Organismal,GDF15,0.3027622993
Organismal,GDNF,0.0206320462
Organismal,GGT1,0.0348803541
Organismal,GYS1,-0.0034110412
Organismal,HAGH,0.0012709335
Organismal,HGF,0.109126998
Organismal,HPGDS,-0.0531755523
Organismal,HS3ST3B1,-0.0221554343
Organismal,HS6ST1,-0.0114147192
Organismal,HSPB6,0.0441880529
Organismal,ICAM5,0.0387795456
Organismal,IFNG,-0.0242774981
Organismal,IGFBP2,0.0125661173
Organismal,IGFBP3,-0.0202226068
Organismal,IGFBP7,0.0689806738
Organismal,IL10RA,-0.0081900985
Organismal,IL17A,-0.0031725607
Organismal,IL17C,0.0098746414
Organismal,IL19,0.048303177
Organismal,IL1RL1,0.0426005861
Organismal,IL1RL2,-0.0044503033
Organismal,IL20,-0.0070728541
Organismal,IL6,0.0556748136
Organismal,IL7R,-0.0837770592
Organismal,ITGA11,-0.0483169882
Organismal,KIT,-0.0895708103
Organismal,KLK10,-0.0251494103
Organismal,KLK12,0.0058204036
Organismal,KLK14,-0.0270667488
Organismal,KLK8,-0.0646355439
Organismal,KRT19,0.0737403528
Organismal,KRT5,-0.0010513481
Organismal,KYAT1,-0.0113474667
Organismal,KYNU,-0.0540186215
Organismal,LCN2,-0.0136496649
Organismal,LIF,-0.0170008816
Organismal,LRRN1,-0.0619280919
Organismal,LTO1,-0.0040180149
Organismal,LY6D,-0.0224930814
Organismal,LYPD1,-0.000622116
Organismal,MAD1L1,0.0321317854
Organismal,MFAP5,-0.0118655604
Organismal,MICB_MICA,0.0107195732
Organismal,MMP1,0.0094634021
Organismal,MMP10,-0.1005867761
Organismal,MMP12,0.1625615043
Organismal,MMP3,0.0237191436
Organismal,MMP7,0.0613361798
Organismal,MSR1,0.0151321912
Organismal,MSTN,-0.0082009061
Organismal,MUC16,0.0024162559
Organismal,MYO9B,0.0040868843
Organismal,NELL2,-0.0613416991
Organismal,NMNAT1,0.0050990133
Organismal,NPTN,-0.016568074
Organismal,NPY,-0.046794442
Organismal,NTF3,-0.0353256849
Organismal,NTF4,-0.0564771724
Organismal,NTproBNP,0.1060737049
Organismal,NXPH1,-0.0661347001
Organismal,OBP2B,-0.0345802063
Organismal,OLR1,0.0269812098
Organismal,OPTC,-0.024381815
Organismal,PDP1,-0.0141681623
Organismal,PLAT,0.1389232047
Organismal,PLTP,0.0145867756
Organismal,PM20D1,-0.000328434
Organismal,PMVK,0.0170654278
Organismal,PNPT1,-0.0257302774
Organismal,PODXL2,-0.0537130023
Organismal,PRDX5,0.0024126534
Organismal,PRSS8,0.1203460326
Organismal,PSG1,0.0328498478
Organismal,PSPN,0.0425070076
Organismal,PTN,0.0535158251
Organismal,PTS,-0.0116023673
Organismal,RANGAP1,-0.0296728656
Organismal,REG3A,0.0391759183
Organismal,RET,-0.0539438688
Organismal,RGMB,-0.0527154551
Organismal,S100A16,-0.0007967575
Organismal,SCARF2,0.0734613629
Organismal,SCG2,-0.0835629997
Organismal,SCG3,-0.0583940828
Organismal,SCLY,-0.0100533187
Organismal,SDC4,-0.0727697784
Organismal,SELE,-0.062566928
Organismal,SERPINA9,-0.0005382248
Organismal,SFRP1,0.0267630949
Organismal,SH2D1A,-0.0208543354
Organismal,SKAP1,-0.0563456641
Organismal,SLIT2,-0.0111733624
Organismal,SLITRK2,-0.0535728997
Organismal,SMARCA2,-0.008682136
Organismal,SORD,-0.0033281984
Organismal,SPINK5,-0.0170831473
Organismal,SPON1,0.0542046592
Organismal,SPP1,0.002633566
Organismal,SSB,-0.0058133216
Organismal,SSC4D,-0.0120271628
Organismal,ST3GAL1,-0.0099854223
Organismal,STAT5B,-0.0001106325
Organismal,STC1,0.0571065757
Organismal,STK11,-0.0066029872
Organismal,STX6,-0.0149406469
Organismal,SULT1A1,-0.0017213089
Organismal,SULT2A1,-0.0140376042
Organismal,TAFA5,-0.1085622369
Organismal,TCL1B,-0.0031886169
Organismal,TIMP4,0.0356739553
Organismal,TLR3,-0.0069504405
Organismal,TNFRSF10B,0.0304908577
Organismal,TNFRSF6B,0.0283551751
Organismal,TNFSF10,-0.006965863
Organismal,TNFSF11,-0.0184806298
Organismal,TNXB,-0.0377163861
Organismal,TP53INP1,-0.0154890742
Organismal,TPP1,0.0019603125
Organismal,TRIM21,-0.0411625267
Organismal,TSPAN1,0.0493973856
Organismal,TST,-0.0103273457
Organismal,VMO1,-0.0122837947
Organismal,VWA1,-0.0263578793
Organismal,VWF,0.0001430351
Organismal,WARS,-0.0015571369
Organismal,WASF3,0.0096614911
Organismal,WFDC2,0.1727409245
Organismal,WIF1,-0.0185214299
Organismal,XG,-0.1802266373
Salivary,CCL28,0.2963133328
Salivary,CXCL5,-0.0330707261
Salivary,LPO,0.0384938726
Salivary,ODAM,-0.3977428394
Heart,ITGB1BP2,0.0356936867
Heart,NPPB,0.2888868197
Heart,TNNI3,0.0965811366
Male,CRISP2,0.0354054333
Male,IL5,-0.029067498
Male,KEL,0.2256548724
Male,KLK4,0.5147914224
Male,MSMB,0.3552109343
Male,TIMD4,0.1928738942
Kidney,HAVCR1,0.5250136188
Kidney,REN,0.2987148707
Kidney,UMOD,-0.2204349876
Muscle,CA3,0.1965787284
Muscle,EGLN1,0.2473859853
Muscle,IDI2,0.1845528898
Muscle,SOD2,0.0237796164
Esophagus,CST5,0.0396224602
Pituitary,CGA,0.0207252352
Pituitary,GAL,-0.1737942003
Pituitary,GH1,0.0046258253
Pituitary,GH2,-0.0352326592
Pituitary,GHRHR,0.0154251437
Pituitary,LHB,-0.0636288868
Pituitary,PRL,-0.0588485777
Pituitary,TSHB,-0.0404866575
Brain,ADAM22,0.0093940361
Brain,ADCYAP1R1,-0.0227448592
Brain,ANGPTL7,0.1352275613
Brain,APLP1,-0.1307395644
Brain,BCAN,-0.824802662
Brain,CA11,-0.0137801724
Brain,CA14,-0.4085321047
Brain,CNDP1,-0.248291221
Brain,CNTN1,-0.1814976471
Brain,CNTN2,0.1570060348
Brain,CNTNAP2,0.2969076078
Brain,CRH,-0.1088559497
Brain,CRTAM,0.153113754
Brain,ENO2,-0.0202938003
Brain,GFAP,0.3394550637
Brain,GPC5,-0.2025605696
Brain,GPR37,0.1682696602
Brain,KCNIP4,-0.026063859
Brain,LHPP,0.069752439
Brain,MDGA1,-0.0165751618
Brain,MEGF10,-0.0202104312
Brain,MEPE,-0.3132670425
Brain,MOG,0.3463035026
Brain,MZT1,-0.1727324615
Brain,NCAN,-0.3161107977
Brain,NEFL,0.6790473291
Brain,NPTX1,0.193088892
Brain,OMG,-0.1574125898
Brain,OXT,-0.0016023129
Brain,POLR2F,0.2748897364
Brain,PPP3R1,0.0405500199
Brain,PVALB,0.013013981
Brain,QDPR,-0.0408889281
Brain,RGS8,-0.0172582409
Brain,RTN4R,0.1038691074
Brain,SEZ6L,0.1120675236
Brain,SPOCK1,0.5654749138
Brain,TMPRSS5,0.0767600928
Brain,TNR,-0.299172826
Conventional,AARSD1,0.0206355116
Conventional,ACTA2,0.0598982138
Conventional,ACY1,-0.0190283436
Conventional,ADA2,0.0371764373
Conventional,ADGRG1,0.0262508311
Conventional,AFP,0.0188786867
Conventional,AGER,-0.2581960921
Conventional,AGR2,0.0359281161
Conventional,AKT3,-0.0008184702
Conventional,APLP1,-0.0264955471
Conventional,AREG,0.06527251
Conventional,ART3,-0.1693497814
Conventional,ATF2,-0.014769824
Conventional,BAG3,-0.0659512352
Conventional,BCAN,-0.0906082042
Conventional,BPIFB1,0.0390407039
Conventional,BRK1,0.00704454
Conventional,CA14,-0.1225881842
Conventional,CA2,0.0139033333
Conventional,CA3,0.0076573398
Conventional,CA4,-0.0513910323
Conventional,CA6,-0.0510645228
Conventional,CALCA,0.0211337082
Conventional,CCDC80,0.0216849907
Conventional,CCL17,0.0331924054
Conventional,CCL19,0.0057312931
Conventional,CCL2,-0.0055414396
Conventional,CCL20,-0.0040350179
Conventional,CCL24,0.0002789651
Conventional,CCL4,0.0048160601
Conventional,CCN3,0.0039630738
Conventional,CD177,-0.000889493
Conventional,CD33,0.0049338292
Conventional,CD6,-0.0028106777
Conventional,CDCP1,0.0289846771
Conventional,CDH17,-0.0062525961
Conventional,CEACAM5,0.1732819075
Conventional,CELA3A,-0.0271283648
Conventional,CES1,-0.0007919768
Conventional,CNDP1,-0.0500410178
Conventional,CNST,-0.0265153561
Conventional,CPA2,-0.0095025621
Conventional,CR2,-0.0104836038
Conventional,CRH,-0.0227501544
Conventional,CRTAC1,-0.0448825937
Conventional,CSF3,-0.0168512036
Conventional,CTF1,-0.0008646768
Conventional,CTRC,-0.0027711717
Conventional,CXCL17,0.0428436965
Conventional,CXCL5,0.0045431652
Conventional,CXCL8,0.0161639623
Conventional,DCTN2,0.0414733867
Conventional,DCXR,-0.068398149
Conventional,DDC,-0.0261826786
Conventional,DDX58,-0.0001489058
Conventional,DSG4,-0.0502583135
Conventional,DUOX2,0.010713108
Conventional,EDA2R,0.2307049612
Conventional,ENPP2,-0.0114508297
Conventional,EPO,0.00894175
Conventional,FABP2,-0.0261646018
Conventional,FABP4,-0.0291068728
Conventional,FABP6,-0.0306794349
Conventional,FASLG,-0.0420176689
Conventional,FCAR,-0.0082124185
Conventional,FCGR2B,-0.0028739885
Conventional,FCRLB,0.0313761092
Conventional,FGF2,0.0389192436
Conventional,FLI1,-0.0130086586
Conventional,FOLR3,-0.0004272681
Conventional,FOXO3,-0.0368899206
Conventional,FUCA1,-0.0007118852
Conventional,FUT3_FUT5,0.0264088204
Conventional,GCG,-0.0223048936
Conventional,GDF15,0.2273100473
Conventional,GFAP,0.1861268341
Conventional,GH1,-0.0037308709
Conventional,GH2,-0.0047025861
Conventional,GHRL,-0.0193110696
Conventional,GP2,0.0707197085
Conventional,GPC5,-0.0161259204
Conventional,GSTA3,-0.0200992009
Conventional,HAGH,0.0087468361
Conventional,HAVCR1,0.0881614796
Conventional,HBEGF,-0.0022334228
Conventional,HGF,0.0679577352
Conventional,HPGDS,-0.0384656515
Conventional,HS3ST3B1,-0.0091083203
Conventional,ICAM5,0.0360112223
Conventional,IFNG,-0.0240842488
Conventional,IGFBP2,0.0042217169
Conventional,IL17C,0.0047202345
Conventional,IL18RAP,-0.0083198117
Conventional,IL19,0.0168623893
Conventional,IL1RL1,0.0242922345
Conventional,IL5,-0.0067421299
Conventional,IL6,0.0349160886
Conventional,IL7R,-0.0392197607
Conventional,ITGA11,-0.0190353089
Conventional,ITGAM,-0.0721623986
Conventional,KIR2DL3,0.0133943742
Conventional,KIRREL2,-0.0079187476
Conventional,KIT,-0.0070849917
Conventional,KLK4,0.0693300218
Conventional,KLK8,-0.005453711
Conventional,KRT19,0.074352147
Conventional,LHB,-0.0213820798
Conventional,LIF,-0.0121672979
Conventional,LRRN1,-0.0294363776
Conventional,LTBP2,0.3418297297
Conventional,LTO1,-0.0005716456
Conventional,MEP1B,-0.0116501778
Conventional,MICB_MICA,0.0068117974
Conventional,MLN,0.004307097
Conventional,MMP10,-0.0690031228
Conventional,MMP12,0.128433372
Conventional,MMP8,0.0017858597
Conventional,MMP9,0.0453234664
Conventional,MSTN,-0.0133556355
Conventional,MUC16,0.0006075433
Conventional,NCAN,-0.085426932
Conventional,NEFL,0.3244443698
Conventional,NMNAT1,0.0087826687
Conventional,NPPB,0.0346002994
Conventional,NPTN,-0.0161503214
Conventional,NPY,-0.0308168895
Conventional,NTF4,-0.0486539547
Conventional,NTproBNP,0.0690294074
Conventional,NXPH1,-0.0329413303
Conventional,OBP2B,-0.0017678079
Conventional,ODAM,-0.0410440969
Conventional,OLR1,0.0052101086
Conventional,OMG,-0.0335080375
Conventional,OPTC,-0.0497906638
Conventional,PAEP,-0.0134327739
Conventional,PDP1,-0.0087614711
Conventional,PLA2G1B,-0.0447720637
Conventional,PLAT,0.0926013591
Conventional,PNLIPRP2,0.0005978803
Conventional,PNPT1,-0.0156322125
Conventional,PPY,0.0080738625
Conventional,PRDX1,0.0077889971
Conventional,PRSS8,0.0995869263
Conventional,PSG1,0.014616856
Conventional,PSPN,0.0414527037
Conventional,PTN,0.0464694941
Conventional,RANGAP1,-0.012254785
Conventional,REG1B,0.0086077152
Conventional,REG3A,0.0198358593
Conventional,REN,0.0790239076
Conventional,RET,-0.0249874059
Conventional,RNASE3,-0.0140298317
Conventional,SCARB1,-0.0045466641
Conventional,SCG2,-0.0368971878
Conventional,SCG3,-0.0516886087
Conventional,SDC4,-0.0622989197
Conventional,SELE,-0.0349554844
Conventional,SEZ6L,-0.0296368332
Conventional,SFTPD,0.0569300695
Conventional,SH2D1A,-0.0057194442
Conventional,SIGLEC5,0.0139892021
Conventional,SKAP1,-0.0540914541
Conventional,SLIT2,-0.0046459815
Conventional,SLITRK2,-0.0119513015
Conventional,SOD2,-0.0058035427
Conventional,SOST,-0.008870416
Conventional,SPON1,0.0508665314
Conventional,SSC4D,-0.0057521291
Conventional,ST3GAL1,-0.0097054518
Conventional,STC1,0.015655647
Conventional,STX6,-0.0136978496
Conventional,TAFA5,-0.0353365491
Conventional,TCL1B,-0.003002596
Conventional,TGM2,0.0083618299
Conventional,TNFRSF10B,0.0247896693
Conventional,TNFRSF6B,0.0319133376
Conventional,TNFSF11,-0.0048351892
Conventional,TNR,-0.1424907407
Conventional,TRIM21,-0.0281118596
Conventional,TSHB,-0.0065336313
Conventional,TSPAN1,0.0211821807
Conventional,VWA1,-0.022674827
Conventional,WASF3,0.0004368285
Conventional,WFDC2,0.07816366
Conventional,XG,-0.1185791768
